Index,TCGA Gene ID,Value,Official Symbol,GeneID,ReplacementGeneID,OfficialSymbol
14114,PRO0628|29053,,PRO0628,29053,,
14168,PRR21|643905,,PRR21,643905,,
14174,PRR25|388199,,PRR25,388199,,
14373,PTPN20A|653129,,PTPN20A,653129,26095,PTPN20
15147,RNY5|6090,,RNY5,6090,,
15210,RPL19P12|100129424,,RPL19P12,100129424,,
15326,RPSAP58|388524,,RPSAP58,388524,,RPSA2
15410,RUNDC2A|84127,,RUNDC2A,84127,92017,SNX29
15411,RUNDC2C|440352,,RUNDC2C,440352,,SNX29P2
15571,SCARNA27|100124533,,SCARNA27,100124533,,
15579,SCARNA9L|100158262,,SCARNA9L,100158262,,
15963,SH3D20|201175,,SH3D20,201175,201176,ARHGAP27
16461,SLFN12L|342615,,SLFN12L,342615,100506736,
16572,SNAR-A13|100169959,,SNAR-A13,100169959,,
16573,SNAR-A2|100126799,,SNAR-A2,100126799,,
16574,SNAR-A3|100169951,,SNAR-A3,100169951,,
16575,SNAR-A4|100169956,,SNAR-A4,100169956,,
16576,SNAR-B2|100170217,,SNAR-B2,100170217,,
16577,SNAR-C2|100170218,,SNAR-C2,100170218,,
16578,SNAR-C3|100170226,,SNAR-C3,100170226,,
16579,SNAR-C4|100170219,,SNAR-C4,100170219,,
16580,SNAR-D|100170227,,SNAR-D,100170227,,
16581,SNAR-E|100170220,,SNAR-E,100170220,,
16582,SNAR-F|100126781,,SNAR-F,100126781,,
16583,SNAR-G1|100126780,,SNAR-G1,100126780,,
16584,SNAR-G2|100170228,,SNAR-G2,100170228,,
16585,SNAR-H|100170221,,SNAR-H,100170221,,
16586,SNAR-I|100170222,,SNAR-I,100170222,,
16599,SNHG3-RCC1|751867,,SNHG3-RCC1,751867,1104,RCC1
16613,SNORA11E|100124542,,SNORA11E,100124542,101340250,SNORA11E
16704,SNORD103A|692234,,SNORD103A,692234,,
16749,SNORD114-8|767584,,SNORD114-8,767584,,
16808,SNORD119|100113378,,SNORD119,100113378,,
16811,SNORD121B|100113385,,SNORD121B,100113385,,
16813,SNORD124|100113390,,SNORD124,100113390,101340251,
16844,SNORD31|9298,,SNORD31,9298,,
16861,SNORD44|26806,,SNORD44,26806,,
16866,SNORD47|26802,,SNORD47,26802,,
16872,SNORD50A|26799,,SNORD50A,26799,,
16886,SNORD59B|692090,,SNORD59B,692090,,
16901,SNORD74|619498,,SNORD74,619498,,
16902,SNORD75|692195,,SNORD75,692195,,
16903,SNORD76|692196,,SNORD76,692196,,
16905,SNORD77|692197,,SNORD77,692197,,
16906,SNORD78|692198,,SNORD78,692198,,
16907,SNORD79|26770,,SNORD79,26770,,
16908,SNORD80|26774,,SNORD80,26774,,
16909,SNORD81|26769,,SNORD81,26769,,
16913,SNORD85|692200,,SNORD85,692200,,SNORD103C
17004,SOD2|6648,,SOD2,6648,,
17074,SPANXB2|100133171,,SPANXB2,100133171,728695,SPANXB1
17076,SPANXE|171489,,SPANXE,171489,64648,SPANXD
17087,SPATA1|64173,,SPATA1,64173,100505741,
17125,SPDYE8P|389517,,SPDYE8P,389517,728524,SPDYE8
17137,SPHAR|10638,,SPHAR,10638,5867,RAB4A
17332,ST7OT3|93655,,ST7OT3,93655,,ST7-OT3
17475,SUGT1L1|283507,,SUGT1L1,283507,,SUGT1P3
17525,SUZ12P|440423,,SUZ12P,440423,,SUZ12P1
17737,TBC1D3G|654341,,TBC1D3G,654341,101060321,
17824,TCL6|27004,,TCL6,27004,,
18015,TIAF1|9220,,TIAF1,9220,399687,MYO18A
18180,TMEM133|83935,,TMEM133,83935,143872,ARHGAP42
18508,TOP1P2|7152,,TOP1P2,7152,,
18706,TRIM78P|117852,,TRIM78P,117852,,
18765,TRY6|154754,,TRY6,154754,,PRSS3P2
18779,TSG1|643432,,TSG1,643432,,
18914,TTTY15|64595,,TTTY15,64595,,
18915,TTTY16|252948,,TTTY16,252948,,
19009,TXNRD3IT1|645840,,TXNRD3IT1,645840,114112,TXNRD3
19152,UGT1A3|54659,,UGT1A3,54659,,
19154,UGT1A5|54579,,UGT1A5,54579,,
19218,UPK3B|80761,,UPK3B,80761,105375355,
19495,WBSCR26|171022,,WBSCR26,171022,,ABHD11-AS1
19655,XAGE1D|9503,,XAGE1D,9503,653067,XAGE1B
20048,ZNF252|286101,,ZNF252,286101,,ZNF252P
20267,ZNF573|126231,,ZNF573,126231,,
30000,AKAP2|11217,,AKAP2,11217,445815,PALM2-AKAP2
30001,C1orf175|374977,,C1orf175,374977,,HEATR8
